selected_id,map_id,source_type,anchor_id,anchor_label,archetype,generator_type,selection_method,selection_role,feature_cluster,batch_target,validation_status,wkt_dir,roads_wkt,metadata_json,preview_png,world_size_x,world_size_y,n_nodes,n_edges,road_density,gridness_score,corridor_score,partition_score,community_score,distance_to_nearest_selected,distance_to_pool_centroid,notes
1,OSM_cambridge_haggle_offset_n_1000m_1500m_0891,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,hybrid,archetype_medoid,0,1000,PASS,wkt/OSM_cambridge_haggle_offset_n_1000m_1500m_0891,wkt/OSM_cambridge_haggle_offset_n_1000m_1500m_0891/roads.wkt,wkt/OSM_cambridge_haggle_offset_n_1000m_1500m_0891/metadata.json,wkt/OSM_cambridge_haggle_offset_n_1000m_1500m_0891/preview.png,1060,1028,1223,1400,0.0012847808530944,0.4272,2.1728,0.0,0.9007,0.0,1.94446095866572,
2,OSM_cambridge_haggle_offset_n_2500m_1000m_0246,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,hybrid,archetype_medoid,1,400,PASS,wkt/OSM_cambridge_haggle_offset_n_2500m_1000m_0246,wkt/OSM_cambridge_haggle_offset_n_2500m_1000m_0246/roads.wkt,wkt/OSM_cambridge_haggle_offset_n_2500m_1000m_0246/metadata.json,wkt/OSM_cambridge_haggle_offset_n_2500m_1000m_0246/preview.png,2623,2587,11716,13143,0.0019368669500763,0.3973,1.3054,0.0,0.9526,8.429369702178807e-08,4.247460118105548,
3,OSM_dieselnet_amherst_offset_e_1000m_500m_0054,osm,dieselnet_amherst,DieselNet / PVTA Amherst,bus_route_urban_suburban,,hybrid,archetype_medoid,2,100,PASS,wkt/OSM_dieselnet_amherst_offset_e_1000m_500m_0054,wkt/OSM_dieselnet_amherst_offset_e_1000m_500m_0054/roads.wkt,wkt/OSM_dieselnet_amherst_offset_e_1000m_500m_0054/metadata.json,wkt/OSM_dieselnet_amherst_offset_e_1000m_500m_0054/preview.png,1048,1051,492,515,0.0004675663308662,0.5199,2.2889,0.0,0.901,0.0,2.4051867810458147,
4,OSM_dieselnet_amherst_offset_e_2500m_1000m_0896,osm,dieselnet_amherst,DieselNet / PVTA Amherst,bus_route_urban_suburban,,hybrid,archetype_medoid,3,1000,PASS,wkt/OSM_dieselnet_amherst_offset_e_2500m_1000m_0896,wkt/OSM_dieselnet_amherst_offset_e_2500m_1000m_0896/roads.wkt,wkt/OSM_dieselnet_amherst_offset_e_2500m_1000m_0896/metadata.json,wkt/OSM_dieselnet_amherst_offset_e_2500m_1000m_0896/preview.png,2482,2555,2009,2093,0.0003300475754197,0.5973,1.1664,0.0,0.9312,0.0,2.712632201050639,
5,OSM_dieselnet_amherst_offset_e_5000m_1000m_0507,osm,dieselnet_amherst,DieselNet / PVTA Amherst,bus_route_urban_suburban,,hybrid,archetype_medoid,4,600,PASS,wkt/OSM_dieselnet_amherst_offset_e_5000m_1000m_0507,wkt/OSM_dieselnet_amherst_offset_e_5000m_1000m_0507/roads.wkt,wkt/OSM_dieselnet_amherst_offset_e_5000m_1000m_0507/metadata.json,wkt/OSM_dieselnet_amherst_offset_e_5000m_1000m_0507/preview.png,5069,4956,5020,5200,0.0002069901859583,0.5218,1.6954,0.0,0.9579,0.0,7.6112405879176945,
6,OSM_dieselnet_amherst_offset_e_5000m_200m_0801,osm,dieselnet_amherst,DieselNet / PVTA Amherst,bus_route_urban_suburban,,hybrid,archetype_medoid,5,1000,PASS,wkt/OSM_dieselnet_amherst_offset_e_5000m_200m_0801,wkt/OSM_dieselnet_amherst_offset_e_5000m_200m_0801/roads.wkt,wkt/OSM_dieselnet_amherst_offset_e_5000m_200m_0801/metadata.json,wkt/OSM_dieselnet_amherst_offset_e_5000m_200m_0801/preview.png,4952,5083,5080,5259,0.0002089307797508,0.5409,1.3024,0.0,0.9568,1.1920928955078125e-07,7.8372617261974655,
7,OSM_helsinki_archipelago_offset_s_1000m_1500m_0538,osm,helsinki_archipelago,Helsinki archipelago partitioned,island_or_partitioned,,hybrid,archetype_medoid,6,600,PASS,wkt/OSM_helsinki_archipelago_offset_s_1000m_1500m_0538,wkt/OSM_helsinki_archipelago_offset_s_1000m_1500m_0538/roads.wkt,wkt/OSM_helsinki_archipelago_offset_s_1000m_1500m_0538/metadata.json,wkt/OSM_helsinki_archipelago_offset_s_1000m_1500m_0538/preview.png,395,392,342,381,0.0024606044949625,0.1828,4.9731,0.0,0.8793,8.429369702178807e-08,5.238582772091408,
8,OSM_helsinki_archipelago_offset_s_1000m_200m_1160,osm,helsinki_archipelago,Helsinki archipelago partitioned,island_or_partitioned,,hybrid,archetype_medoid,7,1200,PASS,wkt/OSM_helsinki_archipelago_offset_s_1000m_200m_1160,wkt/OSM_helsinki_archipelago_offset_s_1000m_200m_1160/roads.wkt,wkt/OSM_helsinki_archipelago_offset_s_1000m_200m_1160/metadata.json,wkt/OSM_helsinki_archipelago_offset_s_1000m_200m_1160/preview.png,1068,1056,4656,5333,0.0047286417546249,0.4154,1.6845,0.0,0.9297,0.0,2.9870368590520466,
9,OSM_helsinki_disrupted_offset_w_1000m_1000m_0876,osm,helsinki_disrupted,Helsinki Kalasatama / Disrupted,industrial_disrupted,,hybrid,archetype_medoid,8,1000,PASS,wkt/OSM_helsinki_disrupted_offset_w_1000m_1000m_0876,wkt/OSM_helsinki_disrupted_offset_w_1000m_1000m_0876/roads.wkt,wkt/OSM_helsinki_disrupted_offset_w_1000m_1000m_0876/metadata.json,wkt/OSM_helsinki_disrupted_offset_w_1000m_1000m_0876/preview.png,1087,1065,5613,6585,0.0056882231752983,0.3323,1.3585,0.0,0.9283,5.960464477539063e-08,3.6281757770123972,
10,OSM_helsinki_downtown_exact_2500m_0m_0286,osm,helsinki_downtown,Helsinki Downtown,dense_urban_irregular,,hybrid,archetype_medoid,9,400,PASS,wkt/OSM_helsinki_downtown_exact_2500m_0m_0286,wkt/OSM_helsinki_downtown_exact_2500m_0m_0286/roads.wkt,wkt/OSM_helsinki_downtown_exact_2500m_0m_0286/metadata.json,wkt/OSM_helsinki_downtown_exact_2500m_0m_0286/preview.png,2548,2560,6374,6723,0.0010306796997645,0.4885,1.2952,0.0,0.9398,0.0,2.6779148016664176,
11,OSM_kallio_community_offset_n_1000m_500m_1019,osm,kallio_community,Kallio Community Compact,compact_residential,,hybrid,archetype_medoid,10,1200,PASS,wkt/OSM_kallio_community_offset_n_1000m_500m_1019,wkt/OSM_kallio_community_offset_n_1000m_500m_1019/roads.wkt,wkt/OSM_kallio_community_offset_n_1000m_500m_1019/metadata.json,wkt/OSM_kallio_community_offset_n_1000m_500m_1019/preview.png,1075,1074,4717,5648,0.0048919492442943,0.4484,1.0405,0.0,0.9186,0.0,2.955282987331081,
12,OSM_kallio_community_offset_n_1500m_500m_0065,osm,kallio_community,Kallio Community Compact,compact_residential,,hybrid,archetype_medoid,11,100,PASS,wkt/OSM_kallio_community_offset_n_1500m_500m_0065,wkt/OSM_kallio_community_offset_n_1500m_500m_0065/roads.wkt,wkt/OSM_kallio_community_offset_n_1500m_500m_0065/metadata.json,wkt/OSM_kallio_community_offset_n_1500m_500m_0065/preview.png,1584,1585,10268,12297,0.0048979543064716,0.3207,1.275,0.0,0.9355,0.0,3.5267749613332984,
13,OSM_kallio_community_offset_n_2500m_500m_0256,osm,kallio_community,Kallio Community Compact,compact_residential,,hybrid,archetype_medoid,12,400,PASS,wkt/OSM_kallio_community_offset_n_2500m_500m_0256,wkt/OSM_kallio_community_offset_n_2500m_500m_0256/roads.wkt,wkt/OSM_kallio_community_offset_n_2500m_500m_0256/metadata.json,wkt/OSM_kallio_community_offset_n_2500m_500m_0256/preview.png,2624,2574,26762,31854,0.004716193359486,0.4016,1.161,0.0,0.9536,1.1920928955078125e-07,7.047050106096367,
14,OSM_kallio_community_offset_n_5000m_1500m_0753,osm,kallio_community,Kallio Community Compact,compact_residential,,hybrid,archetype_medoid,13,800,PASS,wkt/OSM_kallio_community_offset_n_5000m_1500m_0753,wkt/OSM_kallio_community_offset_n_5000m_1500m_0753/roads.wkt,wkt/OSM_kallio_community_offset_n_5000m_1500m_0753/metadata.json,wkt/OSM_kallio_community_offset_n_5000m_1500m_0753/preview.png,5162,5183,78695,92497,0.0034572313160114,0.3747,1.2247,0.0,0.9686,0.0,20.942071506684545,
15,OSM_kallio_community_offset_n_5000m_500m_1048,osm,kallio_community,Kallio Community Compact,compact_residential,,hybrid,archetype_medoid,14,1200,PASS,wkt/OSM_kallio_community_offset_n_5000m_500m_1048,wkt/OSM_kallio_community_offset_n_5000m_500m_1048/roads.wkt,wkt/OSM_kallio_community_offset_n_5000m_500m_1048/metadata.json,wkt/OSM_kallio_community_offset_n_5000m_500m_1048/preview.png,5094,5173,87098,102544,0.0038914265282626,0.409,1.4287,0.0,0.9698,0.0,23.677220696968213,
16,OSM_kallio_community_offset_n_500m_1000m_0091,osm,kallio_community,Kallio Community Compact,compact_residential,,hybrid,archetype_medoid,15,100,PASS,wkt/OSM_kallio_community_offset_n_500m_1000m_0091,wkt/OSM_kallio_community_offset_n_500m_1000m_0091/roads.wkt,wkt/OSM_kallio_community_offset_n_500m_1000m_0091/metadata.json,wkt/OSM_kallio_community_offset_n_500m_1000m_0091/preview.png,554,560,750,891,0.002871970087674,0.084,1.1602,0.0,0.8698,0.0,3.335688192609691,
17,OSM_kallio_community_offset_n_500m_500m_0811,osm,kallio_community,Kallio Community Compact,compact_residential,,hybrid,archetype_medoid,16,1000,PASS,wkt/OSM_kallio_community_offset_n_500m_500m_0811,wkt/OSM_kallio_community_offset_n_500m_500m_0811/roads.wkt,wkt/OSM_kallio_community_offset_n_500m_500m_0811/metadata.json,wkt/OSM_kallio_community_offset_n_500m_500m_0811/preview.png,554,561,1292,1550,0.0049872262656293,0.5326,1.2385,0.0,0.88,5.960464477539063e-08,3.414531039529095,
18,OSM_kumpula_campus_offset_e_1000m_1000m_0399,osm,kumpula_campus,Kumpula Campus,campus_compact,,hybrid,archetype_medoid,17,400,PASS,wkt/OSM_kumpula_campus_offset_e_1000m_1000m_0399,wkt/OSM_kumpula_campus_offset_e_1000m_1000m_0399/roads.wkt,wkt/OSM_kumpula_campus_offset_e_1000m_1000m_0399/metadata.json,wkt/OSM_kumpula_campus_offset_e_1000m_1000m_0399/preview.png,398,1039,994,1181,0.0028559544594967,0.2664,6.9465,0.0,0.8798,0.0,3.0046206203336703,
19,OSM_lapland_rural_sparse_offset_s_2500m_1500m_0434,osm,lapland_rural_sparse,Lapland rural roads,rural_roads,,hybrid,archetype_medoid,18,600,PASS,wkt/OSM_lapland_rural_sparse_offset_s_2500m_1500m_0434,wkt/OSM_lapland_rural_sparse_offset_s_2500m_1500m_0434/roads.wkt,wkt/OSM_lapland_rural_sparse_offset_s_2500m_1500m_0434/metadata.json,wkt/OSM_lapland_rural_sparse_offset_s_2500m_1500m_0434/preview.png,2548,2517,1136,1194,0.0001861751393506,0.4284,1.0586,0.0,0.9288,5.960464477539063e-08,3.222977189686148,
