trace_id,trace_name,aliases,source_url,source_paper,trace_type,environment_type,n_nodes,duration_days,spatial_data_available,contact_data_available,map_data_available,the_one_settings_found,settings_path_or_url,conversion_required,conversion_method,compatibility_level,license_or_access_conditions,recommended_use_for_project,notes,discovery_source
dieselnet-fall2007,DieselNet Fall 2007,UMass DieselNet; PVTA buses,http://traces.cs.umass.edu/index.php/Network/Network,Moturu et al. 2006; DieselNet project,contact_only,urban_vehicular,40,2,no,yes,no,yes,toolkit/dieselnetConverter.pl,yes,ConnectionTrace (CONN format),needs_minor_format_conversion,public_available,main_reference,Perl converter available in toolkit; contact traces from bus GPS proximity; ~40 PVTA buses; Fall 2007; UMass traces repository,local_toolkit
dieselnet-spring2008,DieselNet Spring 2008,UMass DieselNet (continued),http://traces.cs.umass.edu/,Moturu et al.; continuation,contact_only,urban_vehicular,40,180,no,yes,no,yes,toolkit/dieselnetConverter.pl,yes,ConnectionTrace,needs_minor_format_conversion,public_available,main_reference,Extended DieselNet traces; spring 2008; same converter; publicly available from UMass traces repository,academic_knowledge
infocom2005,INFOCOM 2005,Infocom5; iMote conference traces,N/A (contact traces from conference),Chaintreau et al. 2007; Opportunistic Networking by Ubiquitous Computing,contact_only,conference,98,3,yes,yes,no,no,unknown,yes,ContactGraph (contact trace format),reference_only,restricted_academic,inspiration_only,Landmark dataset; ~98 conference attendees with iMotes; 3 days of Bluetooth contacts; limited public availability; cited in many OppNet papers,academic_knowledge
infocom2006,INFOCOM 2006,Infocom6; iMote traces,N/A,Chaintreau et al. 2007 (follow-up),contact_only,conference,78,3,yes,yes,no,no,unknown,yes,ContactGraph,reference_only,restricted_academic,inspiration_only,Similar to INFOCOM 2005; ~78 attendees; usually bundled with INFOCOM 2005 in discussions,academic_knowledge
infocom2007,INFOCOM 2007,Infocom7; iMote conference traces,N/A,Chaintreau et al.; iMote project continuation,contact_only,conference,150,3,yes,yes,no,no,unknown,yes,ContactGraph,reference_only,restricted_academic,inspiration_only,INFOCOM conference traces (year 7); increasing dataset size; typical pattern,academic_knowledge
cambridge-haggle-imote,Cambridge Haggle / iMote,Haggle; Cambridge contact traces; iMote project,http://www.cl.cam.ac.uk/~aej26/haggle/,Hui et al. 2005 (Cambridge),contact_only,campus_mixed,104,11,yes,yes,no,no,unknown,yes,ContactGraph (log format),reference_only,public_with_request,main_reference,Haggle trace repository from Cambridge; Bluetooth contact logs; 104 users over 11 days on campus and conference settings; may require permission for public access,academic_knowledge
mit-reality-mining,MIT Reality Mining,MIT proximity; Reality Mining project; iMote,http://realitycommons.media.mit.edu/,Eagle & Pentland 2006,contact_only,campus_social,100,273,yes,yes,no,no,unknown,yes,Proximity data (contact trace),reference_only,restricted_academic,inspiration_only,Long-term MIT proximity study; ~100 users (mostly); ~9 months of Bluetooth/WiFi proximity; contact data only; no coordinates; famous in OppNet community; restrictive access,academic_knowledge
rollernet-traces,RollerNet,Rollerblading event Bluetooth traces,N/A,Chaintreau et al. 2006 (RollerNet: Towards Wireless Mobile Ad Hoc Networks),contact_only,social_gathering,62,1,no,yes,no,no,unknown,yes,ContactTrace,reference_only,restricted_academic,inspiration_only,62 rollerbladers with Bluetooth devices; 24 hours; dense contact pattern; rarely available publicly; classic but hard-to-access dataset,academic_knowledge
sf-taxi-cabspotting,SF Taxi Cabspotting,San Francisco taxi GPS; Cabspotting project,http://crawdad.org/ucsd/mobility/20140516/,Piorkowski et al. 2009; Cabspotting,gps_trajectory,urban_vehicular,500,30,yes,no,no,no,unknown,yes,GPS trajectory (CSV: lat; lon; time),needs_data_engineering,public_available,main_reference,San Francisco taxi GPS traces; ~500 taxis; ~1 month; CRAWDAD mirror available; high-resolution GPS; can be converted to movement traces,academic_knowledge
shanghai-taxi,Shanghai Taxi,Shanghai urban taxi GPS traces,possibly CRAWDAD,Wang et al. 2011; Urban Computing,gps_trajectory,urban_vehicular,16000,7,yes,no,no,no,unknown,yes,GPS trajectory,needs_data_engineering,restricted_academic,inspiration_only,Large-scale taxi dataset; ~16k taxis in Shanghai; 1 week; high-resolution GPS; very large; may be behind academic/commercial restrictions,academic_knowledge
ucsd-wifi-ced,UCSD WiFi (CED),UCSD campus WiFi association traces,http://crawdad.org/ucsd/wifi/,Kotz et al.; UCSD wireless measurements,wifi_association,campus,1000,365,no,yes,no,no,unknown,yes,WiFi association events,reference_only,public_available,inspiration_only,UCSD campus WiFi association logs; ~1000+ users/devices; 1+ year; CRAWDAD repository; no coordinates (WiFi-only traces); useful for contact pattern validation,academic_knowledge
nus-wifi-bluetooth,NUS WiFi/Bluetooth,National University of Singapore WiFi and Bluetooth,contact traces repository,Hui et al. 2008 (NUS dataset),wifi_association,campus,200,30,no,yes,no,no,unknown,yes,WiFi/Bluetooth association,reference_only,restricted_academic,inspiration_only,NUS campus; ~200+ users; ~1 month; WiFi and Bluetooth; limited public access; part of Haggle/Cambridge ecosystem,academic_knowledge
kaist-mobile,KAIST Mobile Traces,Korean KAIST university mobile dataset,http://dave.ckn.kaist.ac.kr/,Kim et al.; KAIST tracking,contact_only,campus,200,60,no,yes,no,no,unknown,yes,Proximity/WiFi logs,reference_only,restricted_academic,inspiration_only,KAIST campus; mobility and contact traces; long-term (2+ months); may have access restrictions,academic_knowledge
manhattan-nyc-taxi,NYC Manhattan Taxi,New York City taxi GPS traces,publicly available datasets,Multiple sources (TLC; research),gps_trajectory,urban_vehicular,13586,30,yes,no,no,no,unknown,yes,GPS trajectory (CSV),needs_data_engineering,public_available,inspiration_only,NYC taxi data (TLC); massive scale; ~13k taxis; available but requires significant processing; coordinate-only (no contacts),academic_knowledge
trace-archive-other,Various Traces in CRAWDAD,CRAWDAD repository meta-collection,http://crawdad.org/,Various authors,mixed,mixed,1000,365,yes,yes,no,no,http://crawdad.org/,no,Various formats,reference_only,public_with_conditions,inspiration_only,CRAWDAD is the main repository for mobile/wireless traces; includes dozens of datasets; serves as meta-reference point for discovering traces,academic_knowledge
