archetype,source,description,real_anchor_examples,synthetic_generator_examples,expected_features,reason_for_inclusion,supports_map_based_movement,supports_route_movement,supports_wdm,notes
urban_grid,osm_and_synthetic,Regular orthogonal street grid with high gridness and predictable routing,manhattan_midtown,grid,"gridness_score>=0.65; avg_degree 3-4.5; low dead_end_ratio",Canonical vehicular grid baseline from NYC taxi literature,yes,yes,yes,Legacy ManhattanMidtownGrid anchor
dense_urban_irregular,osm_and_synthetic,Irregular urban core with mixed orientation and moderate gridness,helsinki_downtown; sf_cabspotting_downtown; cambridge_haggle,jittered_grid,"gridness_score 0.35-0.60; orientation_entropy>=0.50; corridor_score>=0.30",Captures European and SF irregular urban DTN scenarios,yes,yes,yes,Helsinki downtown is primary The ONE urban anchor
campus_compact,osm_and_synthetic,Compact institutional campus with buildings and ring paths,kumpula_campus; mit_campus_reality,campus_compact,"useful_area_ratio>=0.35; avg_degree 2-3.5; moderate diameter",University and Reality Mining campus mobility,yes,yes,partial,Kumpula legacy map; MIT from Bluetooth traces
compact_residential,osm,Dense residential neighbourhood with community structure,kallio_community,,"community_score>=0.50; gridness 0.35-0.65",Social/cluster scenarios in compact Helsinki residential,yes,yes,yes,Legacy KallioCommunityCompact
corridor_linear,osm_and_synthetic,Elongated corridor topology with high aspect ratio,sf_mission_corridor; rollernet_trace,corridor,"corridor_score>=0.70; aspect_ratio>=2.0",Linear mobility along arterials or sparse trails,yes,yes,partial,RollerNet is trace-only; parametrizes corridor synthetics
bus_route_urban_suburban,osm_and_synthetic,Suburban/urban bus arterial with stops along a corridor,dieselnet_amherst,bus_route_corridor,"corridor_score>=0.40; dead_end_ratio 0.15-0.25",DieselNet/PVTA bus contact trace tradition,yes,yes,no,Place-based OSM for Amherst; synthetics for route shape
radial_city,synthetic,Ring-and-spoke radial city plan,,radial_city,"radial_score>=0.60; avg_degree 2.5-4.0",European radial planning not well covered by grids alone,yes,yes,partial,Pure synthetic control archetype
hub_and_spoke,synthetic,Sparse hubs connected by spoke roads to periphery,,hub_and_spoke,"radial_score>=0.40; dead_end_ratio>=0.15",DTN hotspot and transit-hub connectivity patterns,yes,yes,no,Complements radial_city with sparser structure
sparse_trails,osm_and_synthetic,Tree-like trail network with high dead-end ratio,nuuksio_sparse_trails,tree_trails,"dead_end_ratio>=0.25; avg_degree<=2.5; low road_density",Rural pedestrian and ranger mobility,yes,yes,no,Legacy NuuksioSparseTrails
rural_roads,osm_and_synthetic,Sparse rural road network with long edges,lapland_rural_sparse,sparse_rural,"road_density<=0.0003; large diameter",Opportunistic sparse vehicular contacts in rural areas,yes,yes,no,Lapland OSM anchor
industrial_disrupted,osm_and_synthetic,Industrial or harbour area with articulation and disruption,helsinki_disrupted; london_industrial_corridor,disrupted_grid,"articulation_points>=5; partition_score>=0.10",Disaster and infrastructure failure scenarios,yes,yes,partial,Legacy HelsinkiDisrupted
island_or_partitioned,osm_and_synthetic,Multiple land components linked by bridges,helsinki_archipelago,partitioned_bridge,"n_components>=2; partition_score>=0.15",Partitioned mobility; not maritime navigation,yes,yes,no,Land partitions only; no open-water routing
conference_event_compact,trace_and_synthetic,Compact conference venue topology from contact traces,infocom_event_compact; infocom_2006_trace,conference_event_compact,"diameter<=600m; community_score>=0.60",INFOCOM-style dense social event mobility,yes,partial,no,Trace reference only — no direct venue map
clustered_communities,trace_and_synthetic,Social clusters with sparse inter-community links,haggle_contacts_only,clustered_communities,"community_score>=0.65; partition_score>=0.15",Haggle-inspired social DTN; pairs with cambridge_haggle OSM,yes,yes,partial,Geographic map separate from contact-only anchor
suburban_low_density,osm,Low-density suburban cul-de-sac networks,tampere_suburban,,"dead_end_ratio>=0.25; road_density<=0.0004",Suburban vehicular patterns distinct from urban grid,yes,yes,no,Nordic suburban OSM anchor
