archetype,density_level,regularity_level,compactness_level,connectivity_pattern,centralization_level,corridor_structure,partition_or_bridge_structure,tree_like_structure,primary_mobility_role,reason_for_inclusion,why_not_merged_with_other_archetypes
urban_grid,high,high,medium,single_component,low,weak,none,low,vehicular,Canonical vehicular grid baseline from NYC taxi and Manhattan literature,Not merged with dense_urban_irregular: gridness and routing predictability differ; WDM/grid routing semantics differ
dense_urban_irregular,high,low,medium,single_component,low,mixed,none,low,mixed,European and SF irregular urban DTN tradition (Helsinki downtown primary The ONE anchor),Not merged with urban_grid: orientation entropy and gridness ranges are disjoint design targets
campus_compact,medium,medium,high,single_component,low,weak,none,low,pedestrian,University and Reality Mining campus mobility with ring paths,Not merged with conference_event_compact: institutional scale and route semantics differ from event venues
compact_residential,high,medium,high,single_component,low,weak,none,low,pedestrian,Social/cluster scenarios in compact Helsinki residential (Kallio legacy),Not merged with dense_urban_irregular: community_score and cluster-overlay support are primary DTN differentiators
corridor_linear,medium,medium,low,single_component,medium,high,none,low,mixed,Linear mobility along arterials; SF Mission corridor and RollerNet sparse mobility,Not merged with bus_route_urban_suburban: lacks bus-stop arterial semantics; not merged with sparse_trails: corridor_score vs tree_like structure
bus_route_urban_suburban,medium,medium,low,single_component,medium,high,none,low,vehicular,DieselNet/PVTA bus contact trace tradition with stop-corridor topology,Not merged with corridor_linear: bus-route candidate support and dead_end_ratio band are distinct for The ONE
radial_city,medium,high,medium,single_component,high,weak,none,low,vehicular,European radial planning not captured by orthogonal grids alone,Not merged with hub_and_spoke: continuous ring structure vs sparse hub connectivity and higher dead_end_ratio
hub_and_spoke,low,medium,low,hub_spoke,high,medium,none,medium,vehicular,DTN hotspot and transit-hub connectivity patterns,Not merged with radial_city: sparser periphery and hotspot semantics differ from full radial rings
sparse_trails,low,low,low,tree_like,low,weak,none,high,pedestrian,Rural pedestrian and ranger mobility on tree-like trail networks,Not merged with rural_roads: pedestrian trail dead_end_ratio and tree_like_score dominate vs vehicular sparse roads
rural_roads,low,low,low,single_component,low,weak,none,low,vehicular,Opportunistic sparse vehicular contacts in rural areas (Lapland),Not merged with sparse_trails: vehicular road density and diameter targets differ from trail trees
industrial_disrupted,medium,medium,medium,single_component,low,mixed,weak,low,mixed,Disaster and infrastructure failure scenarios (Helsinki Disrupted legacy),Not merged with island_or_partitioned: articulation/disruption without mandatory multi-component land partitions
island_or_partitioned,medium,low,medium,partitioned,low,weak,high,low,mixed,Partitioned land mobility with bridges; not maritime navigation,Not merged with clustered_communities: geographic partitions vs social cluster topology
conference_event_compact,high,medium,high,clustered,low,weak,none,low,social_event,INFOCOM-style dense social event mobility from contact traces,Not merged with campus_compact: event diameter and partial route support; trace-only venue parametrization
clustered_communities,medium,low,medium,clustered,low,weak,medium,low,social_event,Haggle-inspired social DTN with sparse inter-community links,Not merged with compact_residential: partition_score and trace-backed social clusters vs OSM residential only
suburban_low_density,low,medium,low,single_component,low,weak,none,medium,vehicular,Nordic suburban cul-de-sac vehicular patterns distinct from urban grid,Not merged with rural_roads: suburban dead_end cul-de-sacs vs sparse rural long edges; OSM-only by design
