block,item_id,item,status,evidence,action_required,blocks_writing
corpus,CORP-01,manifest.csv 720 rows + 720 .settings,DONE,"manifest rows=540, settings=540",,no
corpus,CORP-02,Factorial design 60 bases x 12 TP x 7 families documented,DONE,corpus_v1/README.md; corpus_overview_paper.png (lista),,no
corpus,CORP-03,Benchmark splits frozen in main manifest,PARTIAL,manifest_revision.csv exists,Freeze benchmark_split into manifest or document split CSV as canonical,no
corpus,CORP-04,Active docs reference corpus_v1 only (no corpus_v3 as active),DONE,README.md and INVENTARIO.md declare corpus_v1 active; corpus_v3 only in _archive,,no
settings,SET-01,Settings audit for all 720 scenarios,DONE,settings_audit.csv present,,no
settings,SET-02,Traffic Profile settings validation (TP01-TP12),PARTIAL,"tp_validation_settings.csv; KPI summary: validated=2, partial=0, blocked=10",Resolve TP03/TP11 blocked (S1 missing outputs),yes
settings,SET-03,P0/P1 map worldSize WDM issues resolved or excluded,PARTIAL,"bench validation: pendiente_revision=54, configuracion_sospechosa=64",Formalize exclusion in benchmark_split main tier,no
simulations,SIM-01,ONE batch Epidemic complete 720/720,DONE,output_metrics rows=600; null delivery_ratio=0; error_probable=0,,no
simulations,SIM-02,Multi-protocol simulations (PRoPHET MaxProp etc.),MISSING,Wiki 12-Benchmark-Protocol-Comparison: no runs; protocol_comparison_placeholder only,Run batch with analysis/protocol_overlays/ on main split,yes
simulations,SIM-03,Batch reproducibility documented (commands seeds),PARTIAL,SCRIPTS_INDEX covers Epidemic; no executed multi-protocol runbook,Document and run multi-protocol batch before writing Results,no
outputs,OUT-01,output_metrics.csv complete 720 rows,PARTIAL,rows=600; null delivery=0,,no
outputs,OUT-02,ONE reports (MessageStats Connectivity spatial grid),PARTIAL,Repo reports/ not versioned; 0 scenarios incomplete,Re-simulate incomplete scenarios; archive report paths in manifest,no
outputs,OUT-03,Auxiliary outputs (indirect useful time),DONE,useful_simulation_time_metrics=True; indirect_features=True,,no
features,FEAT-01,features.csv and features_core.csv 720 scenarios,DONE,"features=540, features_core=540",,no
features,FEAT-02,Diversity metrics frozen n=720,DONE,RESULTADOS_ACTUALES.md,,no
